Here is the following output from running $jshint app.js, which is a singke file:
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 115, col 5, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 122, col 9, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 155, col 13, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 163, col 5, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 170, col 5, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 174, col 9, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 179, col 21, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 189, col 9, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 194, col 21, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 206, col 9, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 213, col 25, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 225, col 25, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 236, col 13, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 244, col 13, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 248, col 25, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 270, col 25, 'console' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 18, col 9, 'setTimeout' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 22, col 5, 'setTimeout' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 237, col 13, 'setTimeout' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 251, col 25, 'setTimeout' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 25, col 42, 'window' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 26, col 30, 'window' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 27, col 9, 'window' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 247, col 50, 'window' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 269, col 50, 'window' is not defined.
nodebb-plugin-anonymous-checkbox/static/lib/main.js: line 283, col 5, 'window' is not defined.

172 errors
